Best: iteration: 15, time: 18.0306, start node: V0, cost non-opt: 8076, opt: -1
Nodes (name, car in, car out, arc cost, car return cost, passengers, passPrice): 
V0 C- C0 12 0 
V270 C0 C4 21 22 
V218 C4 C4 6 0 
V298 C4 C4 6 0 
V33 C4 C2 2 11 
V154 C2 C2 3 0 
V50 C2 C2 11 0 
V237 C2 C2 10 0 
V23 C2 C1 2 10 
V92 C1 C1 2 0 
V187 C1 C1 4 0 
V164 C1 C1 9 0 
V79 C1 C1 5 0 
V116 C1 C1 10 0 
V61 C1 C1 7 0 
V246 C1 C1 2 0 
V5 C1 C1 2 0 
V90 C1 C1 2 0 
V195 C1 C1 2 0 
V55 C1 C1 2 0 
V87 C1 C1 3 0 
V30 C1 C1 6 0 
V41 C1 C1 3 0 
V107 C1 C1 2 0 
V172 C1 C1 3 0 
V111 C1 C1 6 0 
V168 C1 C1 6 0 
V4 C1 C1 4 0 
V117 C1 C1 4 0 
V288 C1 C1 7 0 
V203 C1 C1 14 0 
V144 C1 C1 7 0 
V176 C1 C1 7 0 
V275 C1 C1 7 0 
V259 C1 C1 6 0 
V181 C1 C1 7 0 
V227 C1 C1 7 0 
V141 C1 C1 6 0 
V291 C1 C1 5 0 
V59 C1 C1 6 0 
V163 C1 C1 6 0 
V106 C1 C1 3 0 
V188 C1 C1 3 0 
V65 C1 C1 15 0 
V265 C1 C1 16 0 
V15 C1 C1 9 0 
V280 C1 C1 8 0 
V177 C1 C1 7 0 
V24 C1 C1 7 0 
V70 C1 C1 11 0 
V278 C1 C1 10 0 
V232 C1 C1 6 0 
V143 C1 C1 20 0 
V118 C1 C1 17 0 
V294 C1 C1 6 0 
V45 C1 C1 6 0 
V43 C1 C1 11 0 
V267 C1 C1 11 0 
V202 C1 C1 21 0 
V78 C1 C1 22 0 
V238 C1 C1 11 0 
V283 C1 C1 12 0 
V235 C1 C1 30 0 
V261 C1 C1 27 0 
V250 C1 C1 8 0 
V46 C1 C1 9 0 
V224 C1 C1 6 0 
V199 C1 C1 5 0 
V88 C1 C1 10 0 
V221 C1 C1 13 0 
V121 C1 C1 14 0 
V239 C1 C3 19 10 
V234 C3 C3 15 0 
V286 C3 C3 18 0 
V165 C3 C3 11 0 
V207 C3 C3 2 0 
V13 C3 C3 2 0 
V115 C3 C3 2 0 
V132 C3 C3 2 0 
V31 C3 C3 2 0 
V122 C3 C3 2 0 
V6 C3 C3 2 0 
V194 C3 C3 3 0 
V185 C3 C3 3 0 
V189 C3 C3 2 0 
V97 C3 C3 3 0 
V22 C3 C3 3 0 
V98 C3 C3 5 0 
V68 C3 C3 5 0 
V71 C3 C3 2 0 
V299 C3 C3 2 0 
V127 C3 C3 2 0 
V171 C3 C3 2 0 
V293 C3 C3 3 0 
V269 C3 C3 10 0 
V10 C3 C3 9 0 
V38 C3 C3 9 0 
V216 C3 C3 10 0 
V273 C3 C3 9 0 
V8 C3 C3 4 0 
V208 C3 C3 5 0 
V225 C3 C3 15 0 
V133 C3 C3 15 0 
V178 C3 C3 14 0 
V7 C3 C3 18 0 
V182 C3 C3 17 0 
V146 C3 C3 28 0 
V126 C3 C3 7 0 
V191 C3 C3 4 0 
V192 C3 C3 5 0 
V9 C3 C3 6 0 
V29 C3 C3 7 0 
V110 C3 C3 9 0 
V20 C3 C3 7 0 
V215 C3 C3 14 0 
V128 C3 C3 22 0 
V263 C3 C3 12 0 
V220 C3 C3 14 0 
V219 C3 C3 20 0 
V209 C3 C3 13 0 
V147 C3 C3 17 0 
V134 C3 C3 16 0 
V242 C3 C3 10 0 
V277 C3 C3 19 0 
V211 C3 C3 35 0 
V223 C3 C3 34 0 
V129 C3 C3 35 0 
V26 C3 C3 19 0 
V289 C3 C3 10 0 
V295 C3 C3 15 0 
V282 C3 C3 30 0 
V247 C3 C3 24 0 
V197 C3 C3 32 0 
V243 C3 C3 13 0 
V260 C3 C3 10 0 
V16 C3 C3 37 0 
V76 C3 C3 52 0 
V251 C3 C3 42 0 
V170 C3 C3 22 0 
V52 C3 C3 26 0 
V272 C3 C3 24 0 
V17 C3 C3 33 0 
V39 C3 C3 18 0 
V158 C3 C3 11 0 
V262 C3 C3 9 0 
V140 C3 C3 14 0 
V160 C3 C3 16 0 
V279 C3 C3 24 0 
V231 C3 C3 36 0 
V27 C3 C3 14 0 
V36 C3 C3 10 0 
V274 C3 C3 12 0 
V148 C3 C3 18 0 
V81 C3 C3 21 0 
V112 C3 C3 27 0 
V73 C3 C3 30 0 
V190 C3 C3 28 0 
V56 C3 C3 25 0 
V229 C3 C3 25 0 
V180 C3 C3 34 0 
V266 C3 C3 39 0 
V80 C3 C3 32 0 
V258 C3 C3 26 0 
V18 C3 C3 26 0 
V137 C3 C3 27 0 
V125 C3 C3 18 0 
V276 C3 C3 18 0 
V48 C3 C3 29 0 
V155 C3 C3 25 0 
V135 C3 C3 25 0 
V145 C3 C3 24 0 
V186 C3 C3 28 0 
V72 C3 C3 44 0 
V57 C3 C3 25 0 
V3 C3 C3 31 0 
